id,Expected
0,neutral
1,neutral
2,anger
3,neutral
4,non-neutral
5,neutral
6,anger
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,joy
14,neutral
15,neutral
16,neutral
17,surprise
18,non-neutral
19,anger
20,neutral
21,neutral
22,surprise
23,non-neutral
24,joy
25,neutral
26,neutral
27,neutral
28,anger
29,neutral
30,neutral
31,joy
32,neutral
33,neutral
34,neutral
35,neutral
36,non-neutral
37,non-neutral
38,neutral
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,non-neutral
45,neutral
46,anger
47,neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,neutral
57,neutral
58,neutral
59,non-neutral
60,neutral
61,non-neutral
62,anger
63,neutral
64,neutral
65,non-neutral
66,non-neutral
67,neutral
68,neutral
69,neutral
70,surprise
71,neutral
72,neutral
73,neutral
74,neutral
75,anger
76,neutral
77,surprise
78,neutral
79,neutral
80,joy
81,neutral
82,neutral
83,neutral
84,neutral
85,non-neutral
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,non-neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,surprise
100,neutral
101,non-neutral
102,non-neutral
103,joy
104,neutral
105,neutral
106,neutral
107,neutral
108,non-neutral
109,non-neutral
110,joy
111,neutral
112,non-neutral
113,neutral
114,non-neutral
115,non-neutral
116,surprise
117,neutral
118,joy
119,neutral
120,neutral
121,neutral
122,anger
123,sadness
124,neutral
125,neutral
126,neutral
127,anger
128,neutral
129,neutral
130,neutral
131,neutral
132,non-neutral
133,anger
134,surprise
135,joy
136,non-neutral
137,anger
138,neutral
139,non-neutral
140,non-neutral
141,joy
142,neutral
143,neutral
144,neutral
145,neutral
146,neutral
147,non-neutral
148,neutral
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,non-neutral
155,anger
156,neutral
157,neutral
158,neutral
159,neutral
160,non-neutral
161,neutral
162,neutral
163,neutral
164,non-neutral
165,neutral
166,non-neutral
167,neutral
168,neutral
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,surprise
175,neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,non-neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,non-neutral
193,non-neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,non-neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,joy
205,joy
206,neutral
207,joy
208,surprise
209,neutral
210,neutral
211,neutral
212,non-neutral
213,neutral
214,neutral
215,neutral
216,non-neutral
217,anger
218,disgust
219,joy
220,neutral
221,neutral
222,neutral
223,non-neutral
224,neutral
225,neutral
226,neutral
227,non-neutral
228,neutral
229,neutral
230,neutral
231,neutral
232,neutral
233,non-neutral
234,neutral
235,neutral
236,neutral
237,non-neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,surprise
243,surprise
244,neutral
245,surprise
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,neutral
253,non-neutral
254,neutral
255,fear
256,non-neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,neutral
266,neutral
267,neutral
268,neutral
269,non-neutral
270,non-neutral
271,neutral
272,neutral
273,fear
274,joy
275,non-neutral
276,neutral
277,neutral
278,neutral
279,neutral
280,anger
281,joy
282,neutral
283,neutral
284,neutral
285,neutral
286,non-neutral
287,neutral
288,non-neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,neutral
297,neutral
298,joy
299,anger
300,neutral
301,anger
302,neutral
303,neutral
304,neutral
305,neutral
306,non-neutral
307,neutral
308,surprise
309,neutral
310,neutral
311,neutral
312,neutral
313,non-neutral
314,neutral
315,neutral
316,neutral
317,neutral
318,neutral
319,neutral
320,neutral
321,non-neutral
322,neutral
323,sadness
324,joy
325,neutral
326,anger
327,anger
328,neutral
329,neutral
330,non-neutral
331,non-neutral
332,neutral
333,neutral
334,neutral
335,neutral
336,non-neutral
337,neutral
338,neutral
339,non-neutral
340,neutral
341,neutral
342,neutral
343,neutral
344,joy
345,joy
346,non-neutral
347,neutral
348,neutral
349,non-neutral
350,neutral
351,non-neutral
352,joy
353,neutral
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,non-neutral
360,neutral
361,non-neutral
362,neutral
363,neutral
364,neutral
365,anger
366,neutral
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,joy
373,non-neutral
374,neutral
375,neutral
376,joy
377,non-neutral
378,neutral
379,neutral
380,neutral
381,neutral
382,non-neutral
383,neutral
384,neutral
385,neutral
386,anger
387,non-neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,non-neutral
394,neutral
395,non-neutral
396,neutral
397,non-neutral
398,neutral
399,neutral
400,non-neutral
401,neutral
402,fear
403,fear
404,disgust
405,non-neutral
406,neutral
407,disgust
408,neutral
409,neutral
410,neutral
411,non-neutral
412,neutral
413,non-neutral
414,neutral
415,neutral
416,non-neutral
417,neutral
418,neutral
419,non-neutral
420,neutral
421,joy
422,anger
423,neutral
424,neutral
425,neutral
426,neutral
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,non-neutral
436,non-neutral
437,neutral
438,non-neutral
439,neutral
440,neutral
441,neutral
442,joy
443,non-neutral
444,surprise
445,neutral
446,neutral
447,neutral
448,non-neutral
449,neutral
450,neutral
451,surprise
452,neutral
453,neutral
454,joy
455,neutral
456,neutral
457,neutral
458,neutral
459,neutral
460,neutral
461,non-neutral
462,neutral
463,anger
464,neutral
465,neutral
466,anger
467,neutral
468,neutral
469,neutral
470,sadness
471,anger
472,neutral
473,joy
474,non-neutral
475,non-neutral
476,non-neutral
477,sadness
478,anger
479,neutral
480,neutral
481,neutral
